feature,group,univariate_auprc,univariate_auroc,drop1_dAUPRC,add1_dAUPRC
contact_order,novel,0.452,0.663,0.012,0.001
apo_holo_disp,novel,0.394,0.674,0.005,0.018
min_dist_heteroduplex,novel,0.482,0.649,0.002,-0.006
solvent_cone,novel,0.502,0.707,-0.001,0.001
long_range_contacts,novel,0.379,0.572,-0.008,-0.013
min_dist_na_ends,novel,0.357,0.525,-0.009,0.009
true_insertion_freq,novel,0.237,0.359,-0.013,-0.02
min_dist_nontarget,novel,0.344,0.454,-0.016,-0.019
msa_conservation,production,0.319,0.563,0.038,
min_dist_rna,production,0.545,0.711,0.003,
flexibility,production,0.516,0.682,0.002,
indel_frequency,production,0.363,0.656,0.002,
open_volume_18A,production,0.455,0.676,-0.006,
rel_sasa,production,0.448,0.626,-0.008,
dist_to_sse_end,production,0.347,0.499,-0.008,
esm2_entropy,production,0.295,0.553,-0.01,
min_dist_dna,production,0.415,0.592,-0.014,
